,1,2,3,4,5
albert bichot 'secret de famille' bourgogne cote d'or chardonnay 2017,louis pommery carneros chardonnay 2019,neyers vineyards chardonnay 2018,balletto teresa's unoaked chardonnay 2020,ramey chardonnay 2017,santo wines assyrtiko 2020
robert hall winery cabernet sauvignon 2019,riboli napa valley cabernet sauvignon 2017,my favorite neighbor cabernet sauvignon 2019,massolino dolcetto d'alba 2019,robert hall sauvignon blanc 2021,chateau marojallia 2018
bodegas borsao tres picos garnacha 2019,espectacle del montsant 2017,sean minor 'nicole marie' 2018,domaine saint gayan gigondas 2016,bodegas avancia cuvee de o godello 2019,bodega monteviejo festivo malbecbodega monteviejo festivo malbec 2019
vik 'milla cala' 2019,primus the blend 2018,primus 'the blend' 2017,chateau cantemerle haut-medoc 2016,dogwood & thistle testa vineyard carignan 2018,jax vineyards y3 'taureau' 2017
neyers vineyards chardonnay 2018,sonoma-cutrer 40th anniversary winemaker’s release chardonnay 2019,hyde de villaine hyde vineyard chardonnay 2017,albert bichot 'secret de famille' bourgogne cote d'or chardonnay 2017,dutton-goldfield rued vineyard chardonnay 2018,louis pommery carneros chardonnay 2019
kir-yanni akakies sparkling rosé 2021,l' esprit du lac vieilles vignes dry rosé 2021,roederer estate brut rosé nv,les sarrins cotes de provence rosé 2021,le contesse pinot noir brut rosé nv,mylonas dry rosé 2021
kokomo winery peters vineyard chardonnay 2019,balletto teresa's unoaked chardonnay 2020,schug pinot noir 2019,neyers vineyards chardonnay 2018,gundlach bundschu estate vineyard chardonnay 2019,sosie wines rosé of syrah 2021
pollak vineyards pinot grigio 2021,soléna willamette valley pinot gris 2021,"the pinot project, pinot grigio 'delle venezie doc' 2021",cantina terlano pinot grigio 2021,"bieler family, pinot grigio ""daisy"" 2021",bouchaine estate pinot gris 2019
barnard griffin rob's red blend 2018,chakana estate selection red blend 2017,hound’s tree cornus reserve 2015,gary farrell russian river selection pinot noir 2018,bonny doon vineyard le cigare volant 2018,nomen malbec 2018
charles heidsieck brut réserve nv,piper-heidsieck cuvee brut nv,laurent-perrier la cuvee brut nv,pol roger brut reserve 'white foil' nv,louis roederer collection 242 brut nv,telmont reserve brut nv
koncho & co kisi qvevri 2019,weingut familie bauer barig alte reben 2019,teliani valley amber blend 2019,weingut schlossmuhlenhof 'das ist keine orange' 2019,bojo do luar doralice 2021,"paraschos ""one"" orange wine 2018"
ca' di prata valdobbiadene prosecco superiore docg extra dry nv,col vetoraz valdobbiadene prosecco superiore di cartizze 2020,adami valdobbiadene prosecco superiore docg vigneto giardino asciutto rive di colbertaldo dry 2020 nv,bottega liquid metals venetian gold prosecco doc nv,il colle prosecco di conegliano valdobbiadene superiore brut 2020,adriano adami dry vigneto giardino rive di colbertaldo nv
pere ventura vintage brut gran reserva rosé cava 2014,champagne billecart-salmon brut rosé nv,laurent-perrier cuvee rose brut nv,j vineyards brut rosé nv nv,champagne lallier grand rosé nv,caraccioli cellars brut cuvee nv
pierre peters blanc de blancs cuvée reserve nv,louis roederer blanc de blancs 2013,"pierre gimonnet & fils ""cuvée gastronome"" brut 2015",bruno paillard première cuvée nv,champagne henriot millésimé 2008,charles heidsieck blanc de blancs nv
chateau cantemerle haut-medoc 2016,chateau greysac 2015,hound’s tree cornus reserve 2015,chateau massereau tradition 2018,chimney rock 'elevage' red 2019,southold farm + cellar 'all things go' 2018
ruinart brut rosé nv,"pierre gimonnet & fils ""cuvée gastronome"" brut 2015",bruno paillard première cuvée brut rosé nv,charles heidsieck brut réserve nv,champagne geoffroy empreinte brut 2013,bruno paillard première cuvée nv
merry edwards russian river valley sauvignon blanc 2020,"famille dubard sauvignon blanc ""coeur du mont"" 2021",macari katherine's field sauvignon blanc 2020,balletto sauvignon blanc 2021,armida sauvignon blanc redwood road estate 2021,dogwood and thistle sauvignon blanc 2020
long meadow ranch pinot gris 2018,la crema sonoma coast chardonnay 2018,long meadow ranch chardonnay 2017,southold farm + cellar 'all things go' 2018,balletto teresa's unoaked chardonnay 2020,ridgecrest vineyards 'rr' riesling 2018
justin vineyards & winery sauvignon blanc 2020,chalk hill estate sauvignon blanc 2019,sean minor 4 bears 4b sauvignon blanc 2019,dalla valle vineyards collina 2019,cade sauvignon blanc 2020,ram's gate winery sauvignon blanc 2020
nomen malbec 2018,vietti 'perbacco' langhe nebbiolo 2018,bodega monteviejo festivo malbecbodega monteviejo festivo malbec 2019,vietti tre vigne barbera d'asti docg 2018,chateau ste. michelle indian wells red blend 2017,imagery estate winery cabernet sauvignon 2018
early mountain quaker run vineyard chardonnay 2019,gundlach bundschu estate vineyard chardonnay 2019,neyers vineyards chardonnay 2018,revalation vineyards petit manseng 2018,dutton-goldfield rued vineyard chardonnay 2018,macari vineyards chardonnay estate 2019
mt. brave cabernet sauvignon 2018,captûre pine mountain cabernet sauvignon 2017,chateau marojallia 2018,mayacamas vineyards cabernet sauvignon 2016,rodney strong alexander valley cabernet sauvignon 2018,larkmead vineyards cabernet sauvignon 2018
robert hall sauvignon blanc 2021,banshee sonoma county sauvignon blanc 2020,bread & butter california sauvignon blanc 2020,intrinsic sauvignon blanc 2020,tangent paragon vineyard sauvignon blanc 2019,alma de cattleya sauvignon blanc 2021
intrinsic sauvignon blanc 2020,routestock cellars 'route 29' sauvignon blanc 2020,banshee sonoma county sauvignon blanc 2020,balletto teresa's unoaked chardonnay 2020,cono sur bicicleta reserva sauvignon blanc 2020,decoy sauvignon blanc 2021
garesio barbera d'asti superiore nizza docg 2017,vietti tre vigne barbera d'asti docg 2018,poliziano 'asinone' vino nobile di montepulciano docg 2017,dogwood & thistle oppenlander vineyard pinot noir 2018,gary farrell russian river selection pinot noir 2018,planeta chardonnay menfi doc 2018
alpha estate single vineyard 'turtles' malagouzia 2019,anne amie vineyards pinot gris 2019,san pietro pinot grigio 2021,domaine monier perreol saint-joseph blanc 2018,douloufakis 'dafnios' vidiano 2019,barnard griffin rosé of sangiovese 2021
laurent-perrier brut millésimé 2008,champagne henriot millésimé 2008,louis roederer collection 242 brut nv,perrier-jouet belle epoque - fleur de champagne millesime brut 2012,billecart-salmon 'cuvee elisabeth salmon' brut rose millesime 2008,caraccioli cellars brut cuvee nv
lavis classic sauvignon trentino doc 2021,"famille dubard sauvignon blanc ""coeur du mont"" 2021",tablelands sauvignon blanc 2020,decoy sauvignon blanc 2021,robert hall sauvignon blanc 2021,armida sauvignon blanc redwood road estate 2021
raptor ridge temperance hill vineyard pinot noir 2018,"enroute pinot noir russian river valley ""les pommiers"" 2019",buena vista winery vinicultural society sonoma pinot noir 2018,scribe pinot noir 2018,maison l'envoye 'straight shooter' pinot noir 2019,gran moraine pinot noir 2019
schlink haus silvaner eiswein 2016,clendenen family vineyards 'the pip' nebbiolo 2017,sokol blosser blossom ridge sparkling rosé 2017,santo winery vinsanto 2014,bojo do luar doralice 2021,le contesse pinot noir brut rosé nv
mezzacorona 'dinotte' red blend 2019,masciarelli montepulciano d'abruzzo 2019,cantine colosi nero d'avola terre siciliane igt 2019,cantine argiolas costera cannonau di sardegna 2019,massolino dolcetto d'alba 2019,dueling pistols cellars red wine 2017
santa julia tardío late harvest torrontés 2019,balletto late harvest pinot gris vin de paille 2017,oak farm vineyards sauvignon blanc 2019,long meadow ranch pinot gris 2018,bodega monteviejo festivo malbecbodega monteviejo festivo malbec 2019,abacela blanco dulce 2020
banshee wines banshee sonoma county rosé 2021,l' esprit du lac vieilles vignes dry rosé 2021,laurent-perrier cuvee rose brut nv,dogwood and thistle sauvignon blanc 2020,wölffer estate vineyard summer in a bottle long island rosé 2021,bonterra chardonnay 2020
domaine skouras megas oenos 2017,covenant wines blue c adom red wine 2019,knights bridge 'kb estate' red blend 2019,epiphany cellars 'inspiration' red,domaine monier perreol saint-joseph blanc 2018,my favorite neighbor cabernet sauvignon 2019
grounded wine co. steady state cabernet sauvignon 2019,delille cellars d2 2019,cataclysm cabernet sauvignon 2019,captûre pine mountain cabernet sauvignon 2017,mt. brave cabernet sauvignon 2018,arrowood winery knights valley cabernet sauvignon 2018
louis roederer collection 242 brut nv,pol roger brut reserve 'white foil' nv,telmont reserve brut nv,billecart-salmon 'cuvee elisabeth salmon' brut rose millesime 2008,laurent-perrier cuvee rose brut nv,alfred gratien brut nv
intrinsic red blend 2019,intrinsic red blend 2018,chateau ste. michelle artists series meritage 2017,hound’s tree cornus reserve 2015,beaulieu vineyard bv reserve tapestry 2018,alexander valley vineyards wetzel family homestead red 2019
champagne delamotte blanc de blancs nv,pol roger brut reserve 'white foil' nv,champagne taittinger brut la française nv,delamotte blanc de blancs vintage brut 2012,pierre peters blanc de blancs cuvée reserve nv,louis roederer blanc de blancs 2013
gundlach-bundschu estate vineyard cabernet sauvignon 2016,my favorite neighbor cabernet sauvignon 2019,penley estate 'phoenix' cabernet sauvignon 2019,captûre pine mountain cabernet sauvignon 2017,domaines barons de rothschild lafite 'legende r' 2016,alesia rhys vineyards anderson valley chardonnay 2016
scribe pinot noir 2018,hirsch vineyards san andreas fault pinot noir 2018,raptor ridge temperance hill vineyard pinot noir 2018,"enroute pinot noir russian river valley ""les pommiers"" 2019",gran moraine pinot noir 2019,maison l'envoye 'straight shooter' pinot noir 2019
domaine carneros by taittinger ultra brut 2015,piper sonoma brut nv,piper-heidsieck cuvee brut nv,jefferson vineyards cabernet franc 2017,roederer estate brut rosé nv,piper sonoma blanc de blancs nv
hanzell vineyards chardonnay 2016,chamisal vineyards sta. rita hills chardonnay 2018,santo wines assyrtiko 2020,cambria estate winery katherine's vineyard chardonnay 2019,gundlach bundschu estate vineyard chardonnay 2019,ramey chardonnay 2017
dalla valle vineyards collina 2019,chateau st jean 'cinq cepages' 2018,kokomo cuvee red 2019,chimney rock 'elevage' red 2019,cathedral ridge winery 'the daughter's reserve' 2016,beaulieu vineyard bv reserve tapestry 2018
taittinger comtes de champagne blanc de blancs brut 2011,perrier-jouet blanc de blancs brut nv,louis roederer cristal millesime brut 2013,vollereaux cuvee marguerite brut millesime 2011,alfred gratien brut nv,valentin leflaive cv 17 50 nv
eberle winery estate reserve cabernet sauvignon 2016,freemark abbey napa valley cabernet sauvignon 2017,larkmead vineyards cabernet sauvignon 2018,seven deadly wines 'the seven deadly zins' zinfandel 2018,jax vineyards y3 'taureau' 2017,sean minor 'nicole marie' 2018
camins 2 dreams zotovich vineyard syrah 2018,domaine saint gayan gigondas 2016,kita spe'y camp 4 vineyard 2016,argiano solengo toscana igt 2018,my favorite neighbor cabernet sauvignon 2019,decibel wines 'giunta' malbec nouveau 2020
gundlach-bundschu estate vineyard gewurztraminer 2019,treleaven semi-dry cayuga lake riesling 2019,trombetta family wines gap's crown vineyard chardonnay 2018,clif family winery gewürtztraminer 2018,ridgecrest estate grüner veltliner 2019,luis seabra 'xisto ilimitado' branco 2018
ravel and stitch cabernet sauvignon 2019,captûre pine mountain cabernet sauvignon 2017,tribute wines cabernet sauvignon 2018,freemark abbey napa valley cabernet sauvignon 2017,chateau marojallia 2018,stonestreet estate vineyards cabernet sauvignon 2017
primus the blend 2018,vik 'milla cala' 2019,primus 'the blend' 2017,beaulieu vineyard bv reserve tapestry 2018,ace kicker 'big bet' blend 2017,mezzacorona 'dinotte' red blend vigneti delle dolomiti igt 2013
clos mogador 'com tu' 2016,espectacle del montsant 2017,ace kicker 'big bet' blend 2016,cantine argiolas costera cannonau di sardegna 2019,landmark vineyards damaris reserve chardonnay 2019,schug pinot noir 2019
santo winery vinsanto 2014,domaine sigalas vinsanto nv,abacela blanco dulce 2020,tokaj-oremus aszú 5 puttonyos 2013,balletto late harvest pinot gris vin de paille 2017,schlink haus silvaner eiswein 2016
gamble family vineyards rosé 2021,hound’s tree cornus reserve 2015,beaulieu vineyard bv reserve tapestry 2018,force of nature rabble red wine 2019,intrinsic red blend 2018,chateau ste. michelle artists series meritage 2017
treleaven reserve chardonnay 2019,balletto teresa's unoaked chardonnay 2020,treleaven semi-dry cayuga lake riesling 2019,long meadow ranch chardonnay 2017,bonterra chardonnay 2020,chamisal vineyards sta. rita hills chardonnay 2018
trivento reserve malbec 2019,bodega monteviejo festivo malbecbodega monteviejo festivo malbec 2019,louis jadot beaujolais 2019,imagery estate winery cabernet sauvignon 2018,aniello 006 riverside estate pinot noir 2019,primus 'the blend' 2017
balletto late harvest pinot gris vin de paille 2017,abacela blanco dulce 2020,santa julia tardío late harvest torrontés 2019,inniskillin sparkling vidal icewine 2019,g&c lurton l'orange wine 2021,santo winery vinsanto 2014
ladoucette comte lafond sancerre blanc 2020,cakebread cellars sauvignon blanc 2021,alpha estate sauvignon blanc fumé 2021,russiz superiore sauvignon collio doc riserva 2016,armida sauvignon blanc redwood road estate 2021,ehlers estate sauvignon blanc 2021
sonoma-cutrer chardonnay 2018,enroute brumaire russian river valley chardonnay 2018,dutton-goldfield rued vineyard chardonnay 2018,gramercy cellars olsen vineyard rosé 2021,cambria estate winery katherine's vineyard chardonnay 2019,treleaven reserve chardonnay 2019
keller estate winery el coro pinot noir 2018,lovelee pinot noir 2019,justin vineyards & winery sauvignon blanc 2020,hirsch vineyards san andreas fault pinot noir 2018,delille cellars d2 2019,kendall-jackson jackson estate hawkeye mountain cabernet sauvignon 2018
l' esprit du lac vieilles vignes dry rosé 2021,banshee wines banshee sonoma county rosé 2021,kir-yanni akakies sparkling rosé 2021,revelation by goose ridge 2021,les sarrins cotes de provence rosé 2021,wölffer estate vineyard summer in a bottle long island rosé 2021
chateau montelena napa valley chardonnay 2019,hirsch vineyards hirsch estate chardonnay 2020,hyde de villaine hyde vineyard chardonnay 2017,fort ross vineyard sea slopes chardonnay 2019,cakebread cellars chardonnay 2019,balletto vineyards twin ridges vineyard chardonnay 2019
cambria estate winery katherine's vineyard chardonnay 2019,ramey chardonnay 2017,hanzell vineyards chardonnay 2016,dutton-goldfield rued vineyard chardonnay 2018,seghesio family vineyards chardonnay 2020,sonoma-cutrer chardonnay 2018
jefferson vineyards viognier 2019,early mountain vineyards five forks white 2019,abacela blanco dulce 2020,gary farrell russian river selection pinot noir 2018,raul perez ultreia 'la claudina' godello 2018,luis seabra 'xisto ilimitado' branco 2018
stinson vineyards 2021 sauvignon blanc 2021,ehlers estate sauvignon blanc 2021,armida sauvignon blanc redwood road estate 2021,gamble family vineyards 2021 sauvignon blanc 2021,cakebread cellars sauvignon blanc 2021,balletto sauvignon blanc 2021
champagne gosset grand rosé brut nv,alfred gratien classic rosé nv,ayala le blanc de blancs 2015,roederer estate l'ermitage brut rosé 2013,laurent-perrier cuvee rose brut nv,champagne billecart-salmon brut rosé nv
field recording skins 2020,weingut schlossmuhlenhof 'das ist keine orange' 2019,teliani valley amber blend 2019,see saw ‘samm’ orange wine 2021,breaking bread orange wine 2020,g&c lurton l'orange wine 2021
von winning 'ii' sauvignon blanc trocken 2019,banshee sonoma county sauvignon blanc 2020,larkmead vineyards 'lillie' sauvignon blanc 2019,mary taylor 'pascal biotteau' anjou blanc 2020,ram's gate winery sauvignon blanc 2020,hanna sauvignon blanc 2019
dr. konstantin frank saperavi 2019,gary farrell russian river selection pinot noir 2018,cataclysm cabernet sauvignon 2019,dogwood & thistle merlot 2019,charles heidsieck brut réserve nv,lievland vineyards cabernet sauvignon 2019
hanna sauvignon blanc 2019,tablelands sauvignon blanc 2020,pieropan soave classico 2019,ridgecrest estate grüner veltliner 2019,weingut hirsch lamm gruner veltliner 2019,von winning 'ii' sauvignon blanc trocken 2019
alta colina downslope white 2020,tablas creek vineyard esprit blanc 2019,justin vineyards & winery sauvignon blanc 2020,cade sauvignon blanc 2020,robert hall sauvignon blanc 2021,mylonas dry rosé 2021
"enroute pinot noir russian river valley ""les pommiers"" 2019",raptor ridge temperance hill vineyard pinot noir 2018,scribe pinot noir 2018,buena vista winery vinicultural society sonoma pinot noir 2018,hirsch vineyards san andreas fault pinot noir 2018,gran moraine pinot noir 2019
ankida ridge vineyards pinot noir 2017,maison l'envoye 'straight shooter' pinot noir 2019,balletto pinot noir 2018,hamacher pinot noir 2017,raptor ridge temperance hill vineyard pinot noir 2018,hirsch vineyards san andreas fault pinot noir 2018
ayala le blanc de blancs 2015,louis roederer collection 242 brut nv,piper-heidsieck cuvee brut nv,moet & chandon brut rose grand vintage 2013,billecart-salmon 'cuvee elisabeth salmon' brut rose millesime 2008,perrier-jouet blanc de blancs brut nv
chapel down classic brut nv,hound's tree estate chardonnay 2017,charles heidsieck brut réserve nv,long meadow ranch pinot gris 2018,teutonic wine company pinot gris 2018,caraccioli cellars brut cuvee nv
larkmead vineyards 'lillie' sauvignon blanc 2019,routestock cellars 'route 29' sauvignon blanc 2020,clif family winery sauvignon blanc 2019,cade sauvignon blanc 2020,von winning 'ii' sauvignon blanc trocken 2019,neyers vineyards chardonnay 2018
champagne geoffroy empreinte brut 2013,louis roederer blanc de blancs 2013,louis roederer cristal millesime brut 2013,piper-heidsieck cuvee brut nv,billecart salmon brut sous bois nv,pol roger brut reserve 'white foil' nv
jermann 'where dreams have no end' venezia giulia igt 2017,enroute brumaire russian river valley chardonnay 2018,talley vineyards estate chardonnay 2017,sonoma-cutrer chardonnay 2018,tenuta tascante 'ghiaia nera' etna rosso 2017,san pietro pinot grigio 2021
louis m. martini napa cabernet sauvignon 2018,charles krug napa valley cabernet sauvignon 2018,my favorite neighbor cabernet sauvignon 2019,robert hall winery cabernet sauvignon 2019,freemark abbey napa valley cabernet sauvignon 2017,chateau marojallia 2018
"bieler family, pinot grigio ""daisy"" 2021",cantina terlano pinot grigio 2021,san pietro pinot grigio 2021,"the pinot project, pinot grigio 'delle venezie doc' 2021",pollak vineyards pinot grigio 2021,attems pinot grigio 2020
kokomo cuvee red 2019,dalla valle vineyards collina 2019,sean minor 'nicole marie' 2018,alexander valley vineyards wetzel family homestead red 2019,robert hall winery paso red 2019,the vice 'the tri blend' 2019
somloi vandor harslevelu 2019,chapel down classic brut nv,david hill estate 'first pick' riesling 2019,weingut hirsch lamm gruner veltliner 2019,domaine monier perreol saint-joseph blanc 2018,vivanterre 'msm' 2020
dom maria brazilian sparkling rosé 2019,jamieson ranch vineyards 'silver spur' sauvignon blanc 2019,drappier brut nature zero dosage nv,justin vineyards & winery sauvignon blanc 2020,sean minor 4 bears 4b sauvignon blanc 2019,dalla valle vineyards collina 2019
tangent pinot gris 2021,soléna willamette valley pinot gris 2021,bouchaine estate pinot gris 2019,cantina terlano pinot grigio 2021,pollak vineyards pinot grigio 2021,vigna lenuzza pinot grigio 2019
j vineyards brut rosé nv nv,piper-heidsieck cuvee brut nv,lanson black label brut nv,krug brut rosé 25th edition nv,pere ventura vintage brut gran reserva rosé cava 2014,schramsberg vineyards mirabelle brut rosé nv
russiz superiore sauvignon collio doc riserva 2016,alpha estate sauvignon blanc fumé 2021,"famille dubard sauvignon blanc ""coeur du mont"" 2021",cakebread cellars sauvignon blanc 2021,balletto sauvignon blanc 2021,ram's gate sauvignon blanc 2021
anselmo mendes 'tempo' 2015,tablelands sauvignon blanc 2020,ridgecrest vineyards 'rr' riesling 2018,vietti tre vigne barbera d'asti docg 2018,domaine huet vouvray 'clos du bourg' premiere trie moelleux 2018,domaine monier perreol saint-joseph blanc 2018
pol roger pure extra brut nv,pol roger réserve brut nv,piper-heidsieck cuvee brut nv,lanson black label brut nv,krug grande cuvée 168ème édition (168th edition) nv,pol roger brut reserve 'white foil' nv
primus 'the blend' 2017,robert hall winery paso red 2019,force of nature rabble red wine 2019,primus the blend 2018,chateau ste. michelle artists series meritage 2017,vik 'milla cala' 2019
dogwood & thistle merlot 2019,decoy merlot 2018,l'ecole no. 41 merlot 2017,southold farm + cellar 'all things go' 2018,chateau cantemerle haut-medoc 2016,cakebread cellars chardonnay 2019
hartford court russian river valley chardonnay 2020,the vice 'the tri blend' 2019,balletto teresa's unoaked chardonnay 2020,hirsch vineyards hirsch estate chardonnay 2020,louis pommery carneros chardonnay 2019,black stallion estate winery heritage napa valley chardonnay 2020
domaine matrot meursault les chevalieres 2018,mail road mt. carmel vineyard chardonnay 2015,domaine huet vouvray 'clos du bourg' premiere trie moelleux 2018,hirsch vineyards hirsch estate chardonnay 2020,albert bichot 'secret de famille' bourgogne cote d'or chardonnay 2017,cakebread cellars chardonnay 2019
vivanterre 'msm' 2020,valentin leflaive cv 17 50 nv,mary taylor 'pascal biotteau' anjou blanc 2020,evening land vineyards seven springs vineyard chardonnay 2019,somloi vandor harslevelu 2019,pol roger brut reserve 'white foil' nv
addendum napa valley cabernet sauvignon 2017,chateau marojallia 2018,riboli napa valley cabernet sauvignon 2017,captûre pine mountain cabernet sauvignon 2017,freemark abbey napa valley cabernet sauvignon 2017,roy estate cabernet sauvignon 2018
"canella prosecco superiore valdobbiadene brut ""millesimato"" docg 2020",adriano adami dry vigneto giardino rive di colbertaldo nv,il colle prosecco di conegliano valdobbiadene superiore brut 2020,col vetoraz valdobbiadene prosecco superiore di cartizze 2020,adami valdobbiadene prosecco superiore docg vigneto giardino asciutto rive di colbertaldo dry 2020 nv,ca' di prata valdobbiadene prosecco superiore docg extra dry nv
mayacamas vineyards cabernet sauvignon 2016,louis m. martini howell mountain cabernet sauvignon 2017,mt. brave cabernet sauvignon 2018,rodney strong alexander valley cabernet sauvignon 2018,gundlach-bundschu estate vineyard cabernet sauvignon 2016,my favorite neighbor cabernet sauvignon 2019
domaine huet vouvray 'clos du bourg' premiere trie moelleux 2018,mary taylor 'pascal biotteau' anjou blanc 2020,domaine matrot meursault les chevalieres 2018,moet & chandon brut rose grand vintage 2013,anselmo mendes 'tempo' 2015,treleaven cabernet franc 2019
bodegas ontañon crianza 2017,masciarelli montepulciano d'abruzzo 2019,la kiuva rosé de vallée nv,nomen malbec 2018,espectacle del montsant 2017,cantine argiolas costera cannonau di sardegna 2019
domaine lavantureux bougros chablis grand cru 2016,hyde de villaine hyde vineyard chardonnay 2017,sonoma-cutrer 40th anniversary winemaker’s release chardonnay 2019,billecart-salmon 'cuvee elisabeth salmon' brut rose millesime 2008,etude grace benoist ranch carneros estate grown chardonnay 2019,laurent-perrier cuvee rose brut nv
dogwood & thistle testa vineyard carignan 2018,vik 'milla cala' 2019,arrowood winery knights valley cabernet sauvignon 2018,routestock cellars 'route 29' sauvignon blanc 2020,nomen malbec 2018,louis pommery carneros chardonnay 2019
kita spe'y camp 4 vineyard 2016,domaine saint gayan gigondas 2016,camins 2 dreams zotovich vineyard syrah 2018,locations wine ca red nv,gramercy cellars olsen vineyard rosé 2021,château minuty 281 2021
champagne taittinger brut la française nv,louis roederer brut premier nv,telmont reserve brut nv,pol roger brut reserve 'white foil' nv,louis roederer collection 242 brut nv,louis roederer blanc de blancs 2013
alma de cattleya sauvignon blanc 2021,intrinsic sauvignon blanc 2020,balletto sauvignon blanc 2021,armida sauvignon blanc redwood road estate 2021,robert hall sauvignon blanc 2021,oak farm vineyards sauvignon blanc 2019
hound’s tree cornus reserve 2015,beaulieu vineyard bv reserve tapestry 2018,macari vineyards dos aguas red 2019,chateau cantemerle haut-medoc 2016,intrinsic red blend 2018,chimney rock 'elevage' red 2019
seghesio family vineyards rosato 2021,masseria li veli torrerose negroamaro rosato salento igt 2021,imagery estate winery aleatico rosé 2021,barnard griffin rosé of sangiovese 2021,l' esprit du lac vieilles vignes dry rosé 2021,see saw ‘samm’ orange wine 2021
krug grande cuvée 168ème édition (168th edition) nv,billecart salmon brut sous bois nv,piper-heidsieck cuvee brut nv,alfred gratien brut nv,charles heidsieck blanc de blancs nv,pol roger pure extra brut nv
vietti 'perbacco' langhe nebbiolo 2018,vietti tre vigne barbera d'asti docg 2018,clendenen family vineyards 'the pip' nebbiolo 2017,vox vineti nebbiolo 2018,nomen malbec 2018,planeta chardonnay menfi doc 2018
bodegas avancia cuvee de o godello 2019,mary taylor 'pascal biotteau' anjou blanc 2020,raul perez ultreia 'la claudina' godello 2018,banshee sonoma county sauvignon blanc 2020,gruet blanc de noirs nv,bodegas borsao tres picos garnacha 2019
revalation vineyards petit manseng 2018,clif family winery gewürtztraminer 2018,domaine monier perreol saint-joseph blanc 2018,dogwood & thistle testa vineyard carignan 2018,treleaven semi-dry cayuga lake riesling 2019,early mountain quaker run vineyard chardonnay 2019
chateau ste. michelle canoe ridge estate chardonnay 2018,louis pommery carneros chardonnay 2019,château de pizay beaujolais blanc 2020,la crema chardonnay 2020,hartford court russian river valley chardonnay 2020,balletto teresa's unoaked chardonnay 2020
la parde de haut-bailly 2010,chateau marojallia 2018,chateau la tour figeac grand cru classe 2015,chateau aney haut-medoc cru bourgeois 2014,chateau de valois pomerol 2016,hickinbotham clarendon vineyard 'trueman' cabernet sauvignon 2017
bonny doon vineyard le cigare volant 2018,barnard griffin rob's red blend 2018,teutonic wine company 'bergspitze' whole cluster pinot noir 2018,thacher glenrose vineyard cinsaut 2018,gary farrell russian river selection pinot noir 2018,ferraton pere & fils cotes du rhone samorens rosé 2021
black stallion estate winery heritage napa valley chardonnay 2020,sonoma-cutrer 40th anniversary winemaker’s release chardonnay 2019,seghesio family vineyards chardonnay 2020,albert bichot 'secret de famille' bourgogne cote d'or chardonnay 2017,hartford court russian river valley chardonnay 2020,neyers vineyards chardonnay 2018
tokaj-oremus aszú 5 puttonyos 2013,santo winery vinsanto 2014,routestock cellars 'route 29' sauvignon blanc 2020,domaine sigalas vinsanto nv,abacela blanco dulce 2020,somloi vandor harslevelu 2019
maysara jamsheed pinot noir 2015,sanford winery pinot noir 2019,cattleya 'alma de cattleya' pinot noir 2019,scribe pinot noir 2018,emeritus vineyards hallberg ranch pinot noir 2018,kokomo winery gopher hill peters vineyard pinot noir 2019
balletto chardonnay 2017,fort ross vineyard sea slopes chardonnay 2019,line 39 chardonnay 2019,balletto teresa's unoaked chardonnay 2020,la crema sonoma coast chardonnay 2018,balletto pinot noir 2018
teliani valley amber blend 2019,weingut familie bauer barig alte reben 2019,"paraschos ""one"" orange wine 2018",weingut schlossmuhlenhof 'das ist keine orange' 2019,see saw ‘samm’ orange wine 2021,field recording skins 2020
patrimony estate cabernet sauvignon 2018,captûre pine mountain cabernet sauvignon 2017,chateau marojallia 2018,dalla valle vineyards collina 2019,ancient peaks winery cabernet sauvignon 2018,larkmead vineyards cabernet sauvignon 2018
domaine sigalas vinsanto nv,santo winery vinsanto 2014,abacela blanco dulce 2020,santa julia tardío late harvest torrontés 2019,balletto late harvest pinot gris vin de paille 2017,tokaj-oremus aszú 5 puttonyos 2013
decibel wines 'giunta' malbec nouveau 2020,decibel crownthorpe vineyard sauvignon blanc 2020,tablelands sauvignon blanc 2020,bodega monteviejo festivo malbecbodega monteviejo festivo malbec 2019,camins 2 dreams zotovich vineyard syrah 2018,balletto chardonnay 2017
stark-condé stellenbosch cabernet sauvignon 2019,lievland vineyards cabernet sauvignon 2019,my favorite neighbor cabernet sauvignon 2019,lievland old vines chenin blanc 2019,leeuwin estate prelude vineyards cabernet sauvignon 2018,arrowood winery knights valley cabernet sauvignon 2018
charles heidsieck brut reserve rosé nv,perrier-jouët blason rosé nv,krug brut rosé 25th edition nv,perrier-jouet blanc de blancs brut nv,laurent-perrier cuvee rose brut nv,delamotte blanc de blancs vintage brut 2012
revelation by goose ridge 2021,barnard griffin rosé of sangiovese 2021,chateau ste. michelle columbia valley rosé 2021,l' esprit du lac vieilles vignes dry rosé 2021,bodegas avancia cuvee de o godello 2019,wölffer estate vineyard summer in a bottle long island rosé 2021
bravium anderson valley chardonnay 2019,smoky rose cellars stainless steel chardonnay 2020,sonoma-cutrer les pierres vineyard chardonnay 2018,champagne gosset grand rosé brut nv,château de pizay beaujolais blanc 2020,imagery estate winery aleatico rosé 2021
sanford winery pinot noir 2019,domaine carneros estate pinot noir 2019,cattleya 'alma de cattleya' pinot noir 2019,maysara jamsheed pinot noir 2015,merry edwards winery sonoma coast pinot noir 2019,crossbarn by paul hobbs sonoma coast pinot noir 2019
